del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF7GLUtl	0.00961924916912674	0.0068359901841937	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	0.00961924916912674	0.0068359901841937	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	0.00162153667891057	-1.25374945607001	Transport, mitochondrial		NA	intercompartmental	
2DR1PP	-0.000579465621923423	-0.00794963342339081	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]	
2HBO	0.00357325500588911	-0.000350453579266573	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HCO3_NAt	-0.00317324954866514	-0.368748300190701	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2MCITt	0.00540977835502499	0.00110105630256004	Transport, extracellular		NA	intercompartmental	
2OXOADPTm	0.0631525232998238	0.148416554412469	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	0.092961506556147	0.00809750485502743	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	0.092961506556147	0.00809750485502743	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	0.0102750316948174	0.00803456221503425	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	0.0929615065626291	0.00809750485505219	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX	0.00579851615495693	0.305705676562555	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]	
34DHPLACOX_NADP_	0.00564190781802134	0.284094058865284	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX_NADP_	0.092961506556147	0.00809750485502743	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
35CGMPtn	0.0151619668196126	0.00904161878414583	Transport, nuclear		NA	intercompartmental	
3AIBTm	0.00948301633949294	0.0114406534871435	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	0.00948301633949294	0.0114406534871435	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3HBCDm	0.0929615065563459	0.00809750485502542	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	0.0929615065558876	0.00809750485502377	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3MOBt2im	0.00211959474782294	-0.0812911056232857	Transport, mitochondrial		NA	intercompartmental	
3MOPt2im	0.000481364601770556	-0.291116063770515	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	0.005183151750661	0.13668345262675	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOX4HOXPGALDOX_NADP_	0.005183151750661	0.13668345262675	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
4ABUTtm	-0.00320284252237252	-0.00813787105669057	Transport, mitochondrial		NA	intercompartmental	
