del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
EX_M01238[e]	753.227163670801	24.4552026690616	Exchange/demand reaction		NA	[e]	NA	100
RE3134C	740.209986752426	24.0385237148452	Cholesterol metabolism	7108.1	NA	[c]	NA	99.9834656084656
RE3180C	740.209986752426	24.0385237148452	Cholesterol metabolism		NA	[c]	NA	99.9834656084656
RE3181C	740.209986752426	24.0385237148452	Cholesterol metabolism		NA	[c]	NA	99.9834656084656
HMR_1490	740.209986752426	24.0385237148452	Cholesterol metabolism	6307.1 or 10826.1	NA	[c]	NA	99.9834656084656
HMR_1493	740.209986752426	24.0385237148452	Cholesterol metabolism	6307.1 or 10826.1	NA	[c]	NA	99.9834656084656
HMR_1494	740.209986752426	24.0385237148452	Cholesterol metabolism	6307.1 or 10826.1	NA	[c]	NA	99.9834656084656
HMR_1484	740.209986752426	24.0385237148452	Cholesterol metabolism	3930.1 or 7108.1	NA	[c]	NA	99.9834656084656
HMR_1502	740.209986743526	24.038523714845	Cholesterol metabolism	6307.1 or 10826.1	NA	[c]	NA	99.8677248677249
HMR_1500	740.209986743526	24.038523714845	Cholesterol metabolism	51478.1	NA	[c]	NA	99.8677248677249
HMR_1503	740.209188991662	24.0384978042943	Cholesterol metabolism	6307.1 or 10826.1	NA	[c]	NA	99.8346560846561
EX_M00003[e]	724.036559739021	23.5073411864379	Exchange/demand reaction		NA	[e]	NA	99.8181216931217
EX_M00117[e]	702.252623762547	22.66850154687	Exchange/demand reaction		NA	[e]	NA	99.8015873015873
EX_adn[e]	695.714948906004	22.6684970413028	Exchange/demand reaction		NA	[e]	NA	99.7850529100529
DM_Lcystin	689.691268804259	24.4548728514809	Exchange/demand reaction		NA	[c]	NA	99.7685185185185
HPDECECOAm	687.283525822612	22.3139165728745	Fatty acid oxidation	33.1	NA	[m]	NA	99.7519841269841
HPDECEm	687.283525822612	22.3139165728745	Fatty acid oxidation	10965.1 or 11332.1 or 10005.1 or 55856.1	NA	[m]	NA	99.7519841269841
HPDECEtm	687.283525822612	22.3139165728745	Transport, mitochondrial	7350.1	NA	intercompartmental	NA	99.7519841269841
HPDECEte	687.283525822612	22.3139165728745	Transport, extracellular		NA	intercompartmental	NA	99.7519841269841
EX_hpdece[e]	687.283525822612	22.3139165728745	Exchange/demand reaction		NA	[e]	NA	99.7519841269841
HMR_2613	678.497695209918	22.0286278391173	Transport, mitochondrial	1384.1 or 1376.1	NA	[m]	NA	99.6693121693122
HMR_3398	678.497695209918	22.0286278391173	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	NA	[m]	NA	99.6693121693122
H4ET3er	678.497695207174	22.0286278391173	Phosphatidylinositol phosphate metabolism	(84720.2 and 5281.1) or (84720.1 and 5281.2) or (5281.1 and 84720.1) or (84720.2 and 5281.2)	phospholipid metabolism, er/ inositol	[r]	NA	99.6362433862434
BGAL1l	678.496902607375	22.0286021021793	Sphingolipid metabolism	(5476.1) and (2720.1) and (2588.1) and (4758.1) and (5660.1) or (5476.1) and (2720.1) and (2588.1) and (4758.1) and (2760.1) or (5476.1) and (2720.1) and (5660.1) or (5476.1) and (2720.1) and (2760.1)	NA	[l]	NA	99.619708994709
NEU11l	678.496902607375	22.0286021021793	Sphingolipid metabolism	2720.1 and 4758.1 and 5476.1 and 2588.1	NA	[l]	NA	99.619708994709
HMR_0831	678.496902607375	22.0286021021793	Transport, lysosomal		NA	intercompartmental	NA	99.619708994709
HMR_0835	678.496902607375	22.0286021021793	Glycosphingolipid metabolism	2760.1	NA	[l]	NA	99.619708994709
HMR_0836	678.496902607375	22.0286021021793	Glycosphingolipid metabolism	3074.1 or 284004.1 or 3073.1	NA	[l]	NA	99.619708994709
r2267	675.371592029653	22.0286279387514	Transport, extracellular	10599.1	NA	intercompartmental	NA	99.537037037037
HMR_0306	668.491279463735	22.0286706156625	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	NA	99.5205026455026
FAOXC163C164x	660.911844254736	21.4575896107276	Fatty acid oxidation	51.1	betaoxidation	[x]	NA	99.5039682539683
FAOXC164C163x	660.911844254736	21.4575896107276	Fatty acid oxidation	26063.1	betaoxidation	[x]	NA	99.5039682539683
FAOXC184C163x	660.911844254736	21.4575896107276	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	betaoxidation	[x]	NA	99.5039682539683
FAOXC184x	660.911844254736	21.4575896107276	Fatty acid oxidation	1962.1 or 10455.1	betaoxidation	[x]	NA	99.5039682539683
FAOXC205C184x	660.911844254736	21.4575896107276	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	betaoxidation	[x]	NA	99.5039682539683
FAOXC225C226x	660.911580053597	21.4575810317482	Fatty acid oxidation	51.1	betaoxidation	[x]	NA	99.4212962962963
FAOXC226C225x	660.911580053597	21.4575810317482	Fatty acid oxidation	26063.1	betaoxidation	[x]	NA	99.4212962962963
r2268	660.356822960769	21.6119374433962	Transport, extracellular	10599.1	NA	intercompartmental	NA	99.3882275132275
EX_HC00229[e]	658.0298854782	21.6119191661829	Exchange/demand reaction		NA	[e]	NA	99.3716931216931
r0390	658.0298854782	21.6119191661829	Miscellaneous	6476.1	NA	[e]	NA	99.3716931216931
LINKDEG1ly	653.914593948879	21.2303786881303	Heparan sulfate degradation		NA	[l]	NA	99.3386243386243
CLPNDCPT1	653.914065547126	21.2303615301717	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]	NA	99.3220899470899
DALAt2r	653.848955433189	21.230366904824	Transport, extracellular	206358.1	NA	intercompartmental	NA	99.3055555555556
PEDH12_HSPLA2	652.200031753057	21.1747043526049	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	NA	99.2890211640212
