del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
HMR_2666	249.366390819175	9.93297843403248	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	NA	[c]	NA	100
FACOAL245_2	244.848904947773	9.91217643538459	Fatty acid oxidation	2180.1	fatty acid activation, cytosol	[c]	NA	99.983660130719
B3GALT42g	240.036564125481	9.91318716539774	Sphingolipid metabolism	8705.1	NA	[g]	NA	99.9673202614379
GALGT2	240.036564125481	9.91318716539774	Sphingolipid metabolism	2583.1	NA	[g]	NA	99.9673202614379
ST3GAL22g	240.036564125481	9.91318716539774	Sphingolipid metabolism	6483.1	chondroitin degradation, lysosome	[g]	NA	99.9673202614379
LNELDCCPT1	237.121157390849	9.67663682096404	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]	NA	99.9183006535948
RE3488R	236.614523550085	9.91856784160979	Eicosanoid metabolism	5742.1 or 5743.1	NA	[r]	NA	99.9019607843137
RE3490C	236.614523550085	9.91856784160979	Eicosanoid metabolism		NA	[c]	NA	99.9019607843137
CE7082ATP	236.614523550085	9.91856784160979	Transport, extracellular		lipid metabolism	intercompartmental	NA	99.9019607843137
EX_CE7082[e]	236.614523550085	9.91856784160979	Exchange/demand reaction		NA	[e]	NA	99.9019607843137
CE7081tr	236.614523550085	9.91856784160979	Transport, endoplasmic reticular		NA	intercompartmental	NA	99.9019607843137
HMR_2558	236.614523550085	9.91856784160979	Fatty acid synthesis		NA	[c]	NA	99.9019607843137
HMR_2560	236.614523550085	9.91856784160979	Fatty acid synthesis		NA	[c]	NA	99.9019607843137
HMR_2571	236.614523550085	9.91856784160979	Fatty acid synthesis		NA	[r]	NA	99.9019607843137
PEROXx	236.614523549543	9.91856784160979	Fatty acid oxidation	3295.1 and 8310.1 and 30.1 and 1962.1	betaoxidation	[x]	NA	99.7712418300654
GLYOX	236.61452354797	9.91856784160979	Pyruvate metabolism	3029.1 or 84264.2 or 84264.1	NA	[c]	NA	99.7549019607843
EX_ps_hs[e]	236.614523547892	9.91856784160979	Exchange/demand reaction		NA	[e]	NA	99.7385620915033
ETHP	236.483946134724	9.91309003542904	Glycerophospholipid metabolism	162466.1	NA	[c]	NA	99.7222222222222
HMR_4124	236.48394613462	9.91309003542904	Aminosugar metabolism	80146.1	NA	[r]	NA	99.7058823529412
HMR_6564	236.483946134538	9.91309003542904	Inositol phosphate metabolism	9562.1	NA	[c]	NA	99.6895424836601
r1383	236.483946134536	9.91309003542904	Folate metabolism	8836.1	NA	[c]	NA	99.6732026143791
PI3P5K	235.574053767866	9.77331270302152	Inositol phosphate metabolism	8394.1 or 23396.1 or 8395.1	NA	[c]	NA	99.656862745098
LNLNCACPT1	235.341512873971	9.77981400332963	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]	NA	99.640522875817
LNLNCACPT2	235.341512873971	9.77981400332963	Fatty acid oxidation	1376.1	carnitine shuttle	[m]	NA	99.640522875817
LNLNCACRNt	235.341512873971	9.77981400332963	Fatty acid oxidation	788.1	carnitine shuttle	intercompartmental	NA	99.640522875817
CYSO	234.046677812888	9.77977683930782	Taurine and hypotaurine metabolism	1036.1	cysteine and CoA metabolism	[c]	NA	99.5915032679739
PYDAMK	234.021380913398	9.77397324576782	Vitamin B6 metabolism	8566.1	vitamin b6 metabolism, cytosol	[c]	NA	99.5751633986928
PE224_HSPLA2	233.939253771103	9.7742825420147	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	NA	99.5588235294118
DOCTETETH	233.939253771103	9.7742825420147	Glycerophospholipid metabolism	5337.1 or 5338.1	lipid metabolism	[e]	NA	99.5588235294118
EX_docteteth[e]	233.939253771103	9.7742825420147	Exchange/demand reaction		NA	[e]	NA	99.5588235294118
PE224_HSte	233.939253771103	9.7742825420147	Transport, extracellular		NA	intercompartmental	NA	99.5588235294118
GTHS	233.545901569192	9.77422912834815	Glutathione metabolism	2937.1	glutathione synthesis	[c]	NA	99.4934640522876
r0661	233.517057767094	9.77428434487981	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	betaoxidation	[x]	NA	99.4771241830065
DM_Lcystin	233.392013207742	9.91307429985584	Exchange/demand reaction		NA	[c]	NA	99.4607843137255
HC00900t3	233.366546031657	9.7742187410217	Transport, extracellular		NA	intercompartmental	NA	99.4444444444444
FAOXC161C141m	233.305423678915	9.77974898117755	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	NA	99.4281045751634
EX_docosac[e]	233.305423677641	9.77974898117761	Exchange/demand reaction		NA	[e]	NA	99.4117647058823
r0389	233.305423675692	9.77974898117761	Vitamin B6 metabolism	55163.1	vitamin b6 metabolism, cytosol	[c]	NA	99.3954248366013
CHSTEROLt	233.305423675664	9.77974898117761	Transport, extracellular	19.1 or (64240.1 and 64241.1)	NA	intercompartmental	NA	99.3790849673203
HMR_0253	233.3054236756	9.77974898117762	Transport, extracellular	19.1	NA	intercompartmental	NA	99.3627450980392
PSFLIP	233.30542367538	9.77974898117761	Transport, extracellular	10396.1 or 57194.1	NA	intercompartmental	NA	99.3464052287582
r2517	233.305423675301	9.77974898117761	Transport, peroxisomal	5825.1	NA	intercompartmental	NA	99.3300653594771
FAOXC2252053m	233.175029613952	9.77427886673153	Fatty acid oxidation	35.1 or 34.1	betaoxidation	[m]	NA	99.3137254901961
C18OHc	233.1748462656	9.77427117499684	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	NA	99.297385620915
EX_3octdeccrn[e]	233.1748462656	9.77427117499684	Exchange/demand reaction		NA	[e]	NA	99.297385620915
FAOXC18C18OHm	233.1748462656	9.77427117499684	Fatty acid oxidation	37.1 and 3030.1	betaoxidation	[m]	NA	99.297385620915
HOCDACBP	233.1748462656	9.77427117499684	Fatty acid oxidation	1622.1	NA	intercompartmental	NA	99.297385620915
HOCTDECCRNe	233.1748462656	9.77427117499684	Fatty acid oxidation		NA	intercompartmental	NA	99.297385620915
CRVSM1hr	233.174846265523	9.77427117499686	Drug metabolism	2990.1	NA	[r]	NA	99.2156862745098
CRVSM23hr	233.174846265523	9.77427117499686	Drug metabolism	2990.1	NA	[r]	NA	99.2156862745098
CVM1GLUChc	233.174846265523	9.77427117499686	Drug metabolism	(54658.1 or 54659.1)	NA	[r]	NA	99.2156862745098
CVM23GLUChc	233.174846265523	9.77427117499686	Drug metabolism	(54658.1 or 54659.1)	NA	[r]	NA	99.2156862745098
SMVACIDhep	233.174846265523	9.77427117499686	Drug metabolism	2990.1	NA	[r]	NA	99.2156862745098
SMVGLUChep	233.174846265523	9.77427117499686	Drug metabolism	(54658.1 or 54659.1)	NA	[r]	NA	99.2156862745098
NBAHH_ir	233.174846264101	9.77427117499686	Beta-Alanine metabolism	84735.1 or 55748.1	beta-alanine synthesis, cytosol	[c]	NA	99.1176470588235
