del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
EX_idour[e]	1129281353842.72	190.601071761781	Exchange/demand reaction		NA	[e]	NA	100
UMPK2	1121055195800.35	190.601071761781	Nucleotide interconversion	51727.1	pyrimidine synthesis/ de novo	[c]	NA	99.9813467636635
UMPK6	944416427028.179	158.827644510348	Nucleotide interconversion	51727.1	pyrimidine synthesis/ de novo	[c]	NA	99.962693527327
CYTK7	883661095535.83	156.724249788679	Nucleotide interconversion	51727.1	NA	[c]	NA	99.9440402909905
CYTK6	881056210555.047	151.316827839924	Nucleotide interconversion	51727.1	NA	[c]	NA	99.925387054654
URIK1	823781439645.039	137.225795655491	Pyrimidine synthesis	7371.1 or 83549.1 or 54963.1	pyrimidine catabolism	[c]	NA	99.9067338183175
CYTK13	741843747783.115	124.52739475217	Nucleotide interconversion	51727.1	NA	[c]	NA	99.888080581981
LCADi	716442843763.308	119.527808029167	Pyruvate metabolism	218.1 or 223.1 or 8854.2 or 224.1 or 222.1 or 8854.1 or 221.1 or 216.1 or 8854.3 or 501.1 or 220.1	NA	[c]	NA	99.8694273456445
DM_dgpi_prot_hs_r_	715340421501.532	119.610637323415	Exchange/demand reaction		NA	[r]	NA	99.850774109308
GPIDAer	715340421501.532	119.610637323415	Phosphatidylinositol phosphate metabolism	80055.1	NA	[r]	NA	99.850774109308
H8TAer	715340421501.532	119.610637323415	Phosphatidylinositol phosphate metabolism	10026.1 and 8733.1 and 128869.1 and 94005.1 and 51604.1	phospholipid metabolism, er/ inositol	[r]	NA	99.850774109308
HMR_8395	715340421501.532	119.610637323415	Inositol phosphate metabolism	5281.1 or 54872.1	NA	[r]	NA	99.850774109308
HMR_3344	715160379649.453	119.527808029167	Fatty acid oxidation	1962.1 or 3295.1	NA	[x]	NA	99.7761611639619
HMR_3203	714557390025.225	119.527808029168	Fatty acid oxidation	3030.1 or 1892.1	NA	[m]	NA	99.7575079276254
EX_3hpvs[e]	713535495128.505	119.527808029168	Exchange/demand reaction		NA	[e]	NA	99.7388546912889
DCT	713314642160.043	119.527808029168	Tyrosine metabolism	1638.1	NA	[c]	NA	99.7202014549524
DM_melanin_c_	713314642160.043	119.527808029168	Exchange/demand reaction		NA	[c]	NA	99.7202014549524
TYRASE	713314642160.043	119.527808029168	Tyrosine metabolism	7306.1	NA	[c]	NA	99.7202014549524
GALASE15ly	711839785148.955	119.527808029168	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	NA	99.6642417459429
EX_stcrn[e]	711650781510.552	119.527808029168	Exchange/demand reaction		NA	[e]	NA	99.6455885096064
STCRNtr	711650781510.552	119.527808029168	Transport, extracellular		transport, extracellular	intercompartmental	NA	99.6455885096064
AG13T16g	711153050399.571	119.527808029167	Keratan sulfate synthesis	79369.1 or 10678.1 or 11041.1 or 146712.1 or 374907.1 or 93010.1 or 374907.2 or 10678.2 or 10331.1	NA	[g]	NA	99.6082820369334
AG13T17g	711153050399.571	119.527808029167	Keratan sulfate synthesis	10678.2 or 11041.1 or 10678.1 or 374907.2 or 93010.1 or 374907.1 or 146712.1 or 79369.1 or 10331.1	NA	[g]	NA	99.6082820369334
AG13T18g	711153050399.571	119.527808029167	Keratan sulfate synthesis	10678.2 or 11041.1 or 10678.1 or 374907.2 or 93010.1 or 374907.1 or 146712.1 or 79369.1 or 10331.1	NA	[g]	NA	99.6082820369334
G14T19g	711153050399.571	119.527808029167	Keratan sulfate synthesis	9334.1 or 8704.1 or 8703.1 or 8704.2 or 2683.1	NA	[g]	NA	99.6082820369334
