del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
TSULt4_3	0.125599218702524	9.97435234792717	Transport, extracellular	6561.1	NA	intercompartmental	NA	100
HC00900t3	0.124379981377149	9.893047365068	Transport, extracellular		NA	intercompartmental	NA	99.9826779837173
HC00900t2	0.0520473287200534	12.6342250369803	Transport, extracellular		NA	intercompartmental	NA	99.9653559674346
FOLOAT2tc	0.0466089111676931	6.97111273428321	Transport, extracellular	10864.1 or 9376.1 or 55867.1	NA	intercompartmental	NA	99.9480339511519
EX_tsul[e]	0.0451857664193346	0.00830366762449727	Exchange/demand reaction		NA	[e]	NA	99.9307119348692
HMR_6515	0.0451857664193346	0.00830366762449727	Methionine and cysteine metabolism	4357.1 or 7263.1	NA	[c]	NA	99.9307119348692
biomass_maintenance_noTrTr	0.043080192928613	0.00728950851632041	Exchange/demand reaction		NA	[c]	NA	99.8960679023038
EX_sfcys[e]	0.0427924499897117	0.00728543886905423	Exchange/demand reaction		NA	[e]	NA	99.8787458860211
SFCYSc	0.0427924499897117	0.00728543886905423	Methionine and cysteine metabolism		NA	[c]	NA	99.8787458860211
SFCYSe	0.0427924499897117	0.00728543886905423	Transport, extracellular		NA	intercompartmental	NA	99.8787458860211
r0639	0.0427759935657623	0.00728520446501316	Fatty acid oxidation	(10449.1 and 3032.1) or (3032.1 and 30.1)	betaoxidation	[m]	NA	99.826779837173
r0718	0.0427759935657623	0.00728520446501316	Fatty acid oxidation	3030.1 and 1962.1 and 3033.1	betaoxidation	[m]	NA	99.826779837173
FAOXC14C14OHm	0.0427652038338728	0.00728505067898304	Fatty acid oxidation	37.1 and 3030.1	betaoxidation	[m]	NA	99.7921358046077
r1519	0.0427628855495185	0.00728501762635166	Transport, extracellular	19.1	NA	intercompartmental	NA	99.774813788325
EX_amet[e]	0.0427620149445138	0.00728500521289076	Exchange/demand reaction		NA	[e]	NA	99.7574917720423
r1514	0.042761609524644	0.00728499943206725	Transport, extracellular	19.1	NA	intercompartmental	NA	99.7401697557596
r1523	0.0427605885912907	0.00728498487424008	Transport, extracellular	19.1	NA	intercompartmental	NA	99.7228477394769
DESAT18_3	0.0427602476561957	0.00728498001257869	Fatty acid synthesis	6319.1	fatty acid synthesis & elongation	[c]	NA	99.7055257231942
EX_ppi[e]	0.0427593086681896	0.00728496662241016	Exchange/demand reaction		NA	[e]	NA	99.6882037069115
PSHSABCtc	0.0427573095006448	0.00728493811189706	Transport, extracellular	19.1	NA	intercompartmental	NA	99.6708816906288
AMPTASECG	0.0427569905907369	0.00728493356361492	Glutathione metabolism	290.1	di-peptidase, cysteinylglycine, cytosol	[c]	NA	99.6535596743461
S6T25g	0.0427568523133023	0.00728493159148581	Chondroitin synthesis	266722.1 or 9394.1 or 90161.2 or 90161.1	NA	[g]	NA	99.6362376580634
S6T19g	0.0427568520119812	0.00728493158718832	Chondroitin synthesis	9469.1 or 56548.1	NA	[g]	NA	99.6189156417807
EX_stcrn[e]	0.0427568516476771	0.00728493158199256	Exchange/demand reaction		NA	[e]	NA	99.601593625498
STCRNtr	0.0427568516476771	0.00728493158199256	Transport, extracellular		transport, extracellular	intercompartmental	NA	99.601593625498
FCOAH	0.0427568516002424	0.00728493158131603	Fatty acid oxidation		alpha oxidation	[c]	NA	99.5669495929326
FORMCOAtx	0.0427568516002424	0.00728493158131603	Transport, peroxisomal		NA	intercompartmental	NA	99.5669495929326
PHYHx	0.0427568516002424	0.00728493158131603	Fatty acid oxidation	5264.1	alpha oxidation	[x]	NA	99.5669495929326
SUCCtp	0.0427568516002424	0.00728493158131603	Transport, peroxisomal		NA	intercompartmental	NA	99.5669495929326
FAOXC15NADPx	0.0427568516002424	0.00728493158131603	Fatty acid oxidation	26061.1 and 224.1	alpha oxidation	[x]	NA	99.5669495929326
HMR_3073	0.0427568516002424	0.00728493158131603	Fatty acid oxidation	30.1 or 4645.1	NA	[x]	NA	99.5669495929326
HMR_3074	0.0427568516002424	0.00728493158131603	Fatty acid oxidation	8310.1 or 51.1	NA	[x]	NA	99.5669495929326
CERT1gt	0.0427568515834628	0.00728493158107672	Transport, golgi apparatus	10087.1	NA	intercompartmental	NA	99.4456954789538
PCHOL_HStg	0.0427568515834628	0.00728493158107672	Transport, golgi apparatus		NA	intercompartmental	NA	99.4456954789538
SPHMYLNtg	0.0427568515834628	0.00728493158107672	Transport, golgi apparatus		NA	intercompartmental	NA	99.4456954789538
SMS1S2	0.0427568515834628	0.00728493158107672	Sphingolipid metabolism	166929.1 or 259230.1	NA	[g]	NA	99.4456954789538
DAG_HStg	0.0427568515834628	0.00728493158107672	Transport, golgi apparatus		NA	intercompartmental	NA	99.4456954789538
S4T1g	0.0427568515575516	0.00728493158070717	Chondroitin synthesis	113189.1 or 50515.1 or 166012.1 or 55501.1	NA	[g]	NA	99.3590853975403
HMR_2286	0.0427568515552208	0.00728493158067393	Fatty acid synthesis	6319.1 or 79966.1	NA	[c]	NA	99.3417633812576
GALNACT1g	0.0427568515374043	0.00728493158041983	Chondroitin synthesis	55790.1 or 55454.1	NA	[g]	NA	99.3244413649749
ACACT9p	0.0427568515372821	0.00728493158041808	Fatty acid oxidation	30.1	betaoxidation	[x]	NA	99.3071193486922
HEXCCOAtx	0.0427568515372821	0.00728493158041808	Transport, peroxisomal		NA	intercompartmental	NA	99.3071193486922
EX_pe15_hs[e]	0.0427568515372821	0.00728493158041808	Exchange/demand reaction		NA	[e]	NA	99.3071193486922
HMR_2219	0.0427568515372821	0.00728493158041808	Fatty acid synthesis	9524.1 or 253017.1	NA	[c]	NA	99.3071193486922
HMR_3057	0.0427568515372821	0.00728493158041808	Fatty acid oxidation	8310.1 or 51.1	NA	[x]	NA	99.3071193486922
HMR_3058	0.0427568515372821	0.00728493158041808	Fatty acid oxidation	1962.1	NA	[x]	NA	99.3071193486922
HMR_3059	0.0427568515372821	0.00728493158041808	Fatty acid oxidation	1962.1 or 3295.1	NA	[x]	NA	99.3071193486922
