del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
r2483	0.323409159202966	0.0171457661817933	Transport, extracellular	6579.1	NA	intercompartmental	NA	100
NRPPHRt4_2_r	0.179841597261867	0.00348642622792799	Transport, extracellular	6530.1 or 6531.1	NA	intercompartmental	NA	99.9827675340341
DOPAt4_2_r	0.179028960037363	0.000502875440751164	Transport, extracellular	6530.1 or 6531.1	NA	intercompartmental	NA	99.9655350680682
HC00900t3	0.11858915787859	0.00216098664483115	Transport, extracellular		NA	intercompartmental	NA	99.9483026021024
EX_hco3[e]	0.0743455381405549	0.691944971970278	Exchange/demand reaction		NA	[e]	NA	99.9310701361365
HC00900t4	0.0627452067322592	18.3660020910289	Transport, extracellular		NA	intercompartmental	NA	99.9138376701706
GALK	0.0551173354201593	0.0675600361840948	Galactose metabolism	2584.1 or 2585.2 or 2585.1	galactose metabolism, cytosol	[c]	NA	99.8966052042047
HMR_0876	0.0522116334503243	5.22384733517157e-11	Glycosphingolipid metabolism	10402.1	NA	[c]	NA	99.8793727382388
RE3301C	0.0434032088440954	0.251067032019179	Glycerophospholipid metabolism	5338.1	NA	[c]	NA	99.862140272273
DAGt	0.0418183745052089	0.795737415191233	Transport, extracellular		NA	intercompartmental	NA	99.8449078063071
EX_dag_hs[e]	0.0418183745052089	0.795737415191233	Exchange/demand reaction		NA	[e]	NA	99.8449078063071
GALASE15ly	0.040861032645167	3.12399092363442e-10	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	NA	99.8104428743753
H2CO3Dm	0.0367866567899378	0.000532947761811157	Miscellaneous	763.1 or 11238.1	NA	[m]	NA	99.7932104084094
HMR_2267	0.0313201967195372	5.82736467572062e-11	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	NA	[c]	NA	99.7759779424436
HMR_2268	0.0313201967195372	5.82736467572062e-11	Fatty acid synthesis	51144.1	NA	[c]	NA	99.7759779424436
HMR_2269	0.0313201967195372	5.82736467572062e-11	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	NA	[c]	NA	99.7759779424436
HMR_2270	0.0313201967195372	5.82736467572062e-11	Fatty acid synthesis	9524.1	NA	[c]	NA	99.7759779424436
NACHEX26ly	0.0308963711766546	0.00855176361622046	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	chondroitin sulphate degradation, lysosome	[l]	NA	99.70704807858
KSII_CORE4t	0.0308963711724503	0.00855176361613678	Transport, extracellular		NA	intercompartmental	NA	99.6898156126142
KSII_CORE4tly	0.0308963711724503	0.00855176361613678	Transport, lysosomal		NA	intercompartmental	NA	99.6898156126142
S6T18g	0.0308963706497387	0.00855176360573372	Keratan sulfate synthesis	8534.1 or 9469.1	NA	[g]	NA	99.6553506806824
GALASE20ly	0.0308963696567056	0.00855176358597026	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	NA	99.6381182147165
S6TASE25ly	0.0308963696567056	0.00855176358597026	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	chondroitin degradation, lysosome	[l]	NA	99.6381182147165
