del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
GTHOm	0.862046166194851	14.9615152770985	Glutamate metabolism	2936.1	glutathione metabolism	[m]	NA	100
PHCDm	0.439599845487409	6.58529390998926	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]	NA	99.9828296703297
FAOXC102C101m	0.435379795829349	0.0336047998350074	Fatty acid oxidation	1666.1	betaoxidation	[m]	NA	99.9656593406593
r0525	0.420198713059213	41.088333487896	Lysine metabolism	10157.1	lysine metabolism, mitochondria	[m]	NA	99.948489010989
SACCD4m	0.419976535896854	41.4779447719079	Lysine metabolism	10157.1	lysine metabolism	[m]	NA	99.9313186813187
r0142	0.35205340677274	0.000789411908641273	Methionine and cysteine metabolism	6821.1	NA	[m]	NA	99.9141483516484
GALtly	0.350423071899168	0.000788958310060367	Transport, lysosomal		NA	intercompartmental	NA	99.896978021978
NAGA2ly	0.350398706993651	0.000788954908831781	Keratan sulfate degradation	4668.1	NA	[l]	NA	99.8798076923077
UDPACGALtl	0.350398706993651	0.000788954908831781	Transport, lysosomal		NA	intercompartmental	NA	99.8798076923077
UDPtl	0.350398706993651	0.000788954908831781	Transport, lysosomal		NA	intercompartmental	NA	99.8798076923077
GALASE19ly	0.350398561627725	0.000788954891032252	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	NA	99.8282967032967
NAGLCAly	0.350398561627725	0.000788954891032252	Keratan sulfate degradation		NA	[l]	NA	99.8282967032967
UAG4E	0.350351477895492	0.000788959523126897	Aminosugar metabolism	2582.1 or 2582.2	amino sugar metabolism	[c]	NA	99.793956043956
NDP7g	0.350307313254132	0.000788951524349456	Nucleotide interconversion	9583.1	pyrimidine degradation	[g]	NA	99.7767857142857
NACHEX25ly	0.350298122186776	0.000788956052958025	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	NA	[l]	NA	99.7596153846154
