name	Ctrl_unchanged	ST_top
10FTHF7GLUtl	1	0
10FTHFtl	1	0
11DOCRTSLte	0	1
12DHCHOLt	0	1
12PPDRte	0	1
13_CIS_RETNte	1	0
13DAMPPOX	1	1
13DAMPPte	0	1
13DMTitr	0	1
13DMTtep	0	1
1513DTACRhr	0	1
1513DTALThr	0	1
1513TACRitr	0	1
1513TACRtep	0	1
15DMTitr	0	1
15DMTtep	0	1
15HPETUPKt	0	1
17AHPRGSTRNte	0	1
1A25DHVITD3te	0	1
1a25DHVITD3TRn	0	1
2AMACHYD	0	1
2H3MVc	1	0
2H3MVte	1	0
2HATVACIDtep	1	0
2HATVACIDthc	1	0
2HATVLACtep	1	0
2HATVLACthc	1	0
2HBO	0	1
2HBt2	1	0
2HCO3_NAt	1	0
2M3HVACc	1	0
2M3HVACte	1	0
2M3OVACm	1	0
2M3OVACtm	1	0
2M3OVCOAm	1	0
2OXOADPTm	1	0
34DHOXPEGOX	0	1
34DHOXPEGt	0	1
34DHPHEt	0	1
34DHXMANDACOX_NADP_	0	1
34HPLFM	1	0
34HPLte	1	0
34HPLtm	1	0
34HPPte	1	0
35DIODTYRte	0	1
3AIB_Dtm	0	1
3AIBSYMPt	1	0
3ANTHRNtr	0	1
3DHLCAt	0	1
3H3MGLTc	1	0
3H3MGLTte	1	0
3HADICOAx	0	1
3HADPACte	0	1
3HADPACtxc	0	1
3HADPACx	0	1
3HBCDm	0	1
3HBCOAHLm	1	0
3HBCOARc	0	1
3HCO3_NAt	1	0
3HPVSCOAitm	0	1
3HPVSCOAitx	0	1
3HPVStep	1	0
3HPVSTETCOAhcm	0	1
3HPVSTETCOAhcx	0	1
3HPVSTETCOAitm	0	1
3HPVSTETCOAitx	0	1
3HPVSthc	1	0
3ITYR_Lte	0	1
3M4HDXPAC	0	1
3MHISt1	1	0
3MHISt2	1	0
3MHISt3	1	0
3MOBt2im	1	0
3MOBte	1	0
3MOPte	1	0
3MOX4HOXMte	0	1
3MOX4HOXPGALDOX	1	0
3MOX4HOXPGALDOX_NADP_	1	0
3MOXTYROX	0	1
3OHSUBACte	0	1
3OHSUBACtxc	0	1
3OHSUBACx	0	1
3OHSUBCOAx	0	1
3SALAASPm	1	0
3SALATAi	1	0
3SPYRSP	1	0
3UIBtd	0	1
41R1H2MAE12BOOX	0	1
41R2A1H12BOOX	0	1
42A12BOOX	0	1
4AABUTNt	1	0
4ABUTtm	1	0
4HATVACIDtep	1	0
4HATVACIDthc	1	0
4HATVLACtep	1	0
4HATVLACthc	1	0
4HBZCOAFm	0	1
4HBZFm	0	1
4HBZte	0	1
4HBZtm	0	1
4HGLSDm	1	0
4HPROLTASCT1	1	0
4MOPte	1	0
4TMEABUTNt1	1	0
4TMEABUTNt2	1	0
56DTHMtd	0	1
56DURAt	1	0
56DURAtd	1	0
5ADTSTSTERONESte	0	1
5ADTSTSTERONEte	0	1
5AOPtm	1	0
5HOXINDOAtr	0	1
5HOXINOXDA	0	1
5HPETtd	1	0
5MTAte	0	1
5MTHFt	1	0
5MTHFt2	1	0
5OHHEXAc	0	1
5OHHEXAte	0	1
6EPVStep	1	0
6EPVSthc	1	0
7DHCDCHOLt	0	1
7DHCHOLt	0	1
7DHCHSTEROLtd	1	0
7DHCHSTEROLtr	1	0
7DHFtl	1	0
7KILTCHOLt	1	0
7THFtl	1	0
A_MANASEly	0	1
A4GALTg	0	1
AACTOOR	0	1
AACTte	0	1
ABO9g	0	1
ABTArm	1	0
ABTD	0	1
ABUTD	0	1
ABUTt2r	1	0
ABUTt2rL	1	0
ABUTt4_2_r	1	0
ACACT10m	1	0
ACACt2	1	0
ACACt2m	1	0
ACACT4p	1	0
ACACT6p	1	0
ACACT8p	0	1
ACACT9p	0	1
ACACtx	1	0
ACALDt	1	1
ACALDtm	0	1
ACCOAtn	1	0
ACETONEt2	1	0
ACETONEt2m	1	0
ACGALtly	0	1
ACGAM6PSi	0	1
ACGAMPM	0	1
ACGAMtly	1	0
ACGPID	0	1
ACHtn	1	0
ACLYSHYc	1	0
ACLYSt	1	0
ACNACNGAL14ACGLCGALGLUSIDEte	0	1
ACNACNGAL14ACGLCGALGLUSIDEtg	0	1
ACNACNGALGBSIDEte	0	1
ACNACNGALGBSIDEtg	0	1
ACNAMlt	0	1
ACNAMtn	1	0
ACNAMtr	0	1
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0	1
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	0	1
ACOAD10m	1	0
ACOAD8m	1	0
ACOAO7p	1	0
ACONT	1	0
ACP1_FMN_	1	0
ACRNte	0	1
ACS	1	0
ACt2m	1	0
ACt2r	1	0
ACtg	0	1
ACYP	1	0
ADEt	1	0
ADK1	1	0
ADK1m	1	0
ADK3	1	0
ADK3m	1	0
ADKd	1	0
ADNK1m	1	0
ADPACDAc	0	1
ADPACtd	0	1
ADPCOACROT	0	1
ADPMAN	0	1
ADPtx	1	0
ADRNCPT1	0	1
ADRNCPT2	0	1
ADRNCRNt	1	0
ADRNLtu	0	1
ADRNt	1	0
ADSL1	1	0
ADSL2	1	0
ADSS	1	0
AG13T16g	0	1
AG13T17g	0	1
AG13T18g	0	1
AGPAT1	1	0
AHC	1	0
AHCYStd	1	0
AHEXASE2ly	0	1
AHEXASEly	0	1
AICART	1	0
AIRCr	1	0
AK2LGCHOLABCt	1	0
AK2LGCHOLt1	1	0
AKGDm	1	0
AKGMALtm	1	0
AKGt4_3	1	0
ALAALACNc	1	0
ALAARGCYSr	1	0
ALAARGCYSt	1	0
ALAARGGLYr	1	0
ALAARGGLYt	1	0
ALAASNLEUr	1	0
ALAASNLEUt	1	0
ALADGLNexR	1	0
ALADGLYexR	1	0
ALAGLNexR	1	0
ALAGLYLYSr	1	0
ALAGLYLYSt	1	0
ALAHISALAr	1	0
ALAHISALAt	1	0
ALALYSTHRr	1	0
ALALYSTHRt	1	0
ALAPAT4te	1	0
ALAR	1	0
ALAt2r	1	0
ALAt4	1	0
ALATA_L	1	0
ALCD1	1	0
ALCD21_D	1	0
ALCD2yf	0	1
ALDD20x	0	1
ALDD20xm	0	1
ALDD21	1	0
ALDD2x	0	1
ALDD2xm	0	1
ALDD2y	1	1
