subSystem_SC	n.x	n.y	p.val	p.val.fdr
Exchange/demand reaction	9	1074	0.98217012573453	0.98217012573453
Transport, extracellular	14	1383	0.957530429534935	0.98217012573453
Transport, peroxisomal	1	96	0.756745291633751	0.819807399269897
Transport, mitochondrial	3	265	0.746561378756429	0.819807399269897
Fatty acid oxidation	10	803	0.744707015582627	0.819807399269897
Transport, lysosomal	1	64	0.609366898300818	0.754454255039108
Fatty acid synthesis	3	187	0.513362895457235	0.667371764094406
Phosphatidylinositol phosphate metabolism	1	33	0.383358761592913	0.524596200074512
Arginine and proline metabolism	1	22	0.275320906650044	0.485886324626537
Citric acid cycle	1	19	0.242738396502174	0.485886324626537
Glycolysis/gluconeogenesis	1	28	0.336382840126064	0.485886324626537
Purine catabolism	1	24	0.296268271152646	0.485886324626537
Pyruvate metabolism	1	20	0.253757073495827	0.485886324626537
Steroid metabolism	1	26	0.316616600389941	0.485886324626537
Bile acid synthesis	2	79	0.318469491489686	0.485886324626537
Pyrimidine synthesis	1	12	0.160970532277155	0.380475803564185
Beta-Alanine metabolism	1	6	0.0839757235718503	0.218336881286811
Leukotriene metabolism	1	6	0.0839757235718503	0.218336881286811
Nucleotide salvage pathway	1	3	0.0428983136712572	0.139419519431586
Eicosanoid metabolism	3	51	0.0372946328504446	0.138522922015937
Blood group synthesis	2	16	0.0218873273253056	0.1134309325351
Transport, endoplasmic reticular	5	116	0.0261763690465615	0.1134309325351
Linoleate metabolism	2	8	0.0055062480747951	0.0357906124861681
Nucleotide interconversion	10	139	2.87338126387062e-05	0.000249026376202121
Chondroitin synthesis	7	39	1.12942044146521e-06	1.46824657390477e-05
Chondroitin sulfate degradation	8	34	1.91552097639448e-08	4.98035453862566e-07
