del_rxnID_KO	prctile_CP	prctile_PC	prctile_CH	prctile_HC	prctile_CS	prctile_SC	subSystem_CP	subSystem_PC	subSystem_CH	subSystem_HC	subSystem_CS	subSystem_SC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CH	MetabolicUnits_HC	MetabolicUnits_CS	MetabolicUnits_SC	Localization_CP	Localization_PC	Localization_CH	Localization_HC	Localization_CS	Localization_SC
DOCOSACTDe	79.3322141391532	68.176835951772	61.2945346017534	52.3586671658555	93.5086737548965	45.1648554061521	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CYTK13	79.2202947211341	2.37486298867373	22.6823353851893	19.7304380381879	99.888080581981	8.30723890219193	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
ALDD2y	76.1238574892744	19.6200219218122	79.8358515202388	10.6514414077125	97.1460548405148	88.5061705654817	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
HMR_3448	73.2139526207797	34.8008768724881	37.9406827084499	50.7113440658929	32.9229621339302	96.0766255295635	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
CYTK11	71.9828390225704	13.5001826817684	20.2947211341168	25.2339947585174	98.9740720014923	16.7986737889114	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
r1516	71.6843872411863	56.7592254293021	56.6125722812908	48.6709097716211	84.0887894049618	74.0099465831645	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
RE3011M	70.341354224958	45.2685421994885	48.4984144749114	64.9007862223886	61.2012684200709	99.7973844170197	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
RE3012M	70.341354224958	45.2685421994885	48.4984144749114	64.9007862223886	61.2012684200709	99.7973844170197	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
RE3597M	70.341354224958	45.2685421994885	48.4984144749114	64.9007862223886	61.2012684200709	99.7973844170197	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	Eicosanoid metabolism	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
HMR_1127	70.341354224958	45.2685421994885	48.4984144749114	64.9007862223886	61.2012684200709	99.7973844170197	Leukotriene metabolism	Leukotriene metabolism	Leukotriene metabolism	Leukotriene metabolism	Leukotriene metabolism	Leukotriene metabolism	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
HMR_1243	70.341354224958	45.2685421994885	48.4984144749114	64.9007862223886	61.2012684200709	99.7973844170197	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_gal[e]	66.2003357582541	55.1333576909025	34.7696325312442	0.299513290902284	39.2277560156687	95.4687787806226	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
UMPK7	62.9360193993658	3.79978078187797	13.2251445625816	22.6132534631224	88.0619287446372	14.6251611714865	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
LDH_D	61.537026674128	43.8436244062843	38.1458683081515	7.4878322725571	38.1458683081515	87.0878614846196	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
EX_arach[e]	59.2053721320649	30.288637194008	79.8358515202388	7.86222388618495	94.7957470621153	1.91563823908639	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
UMPK2	59.0374930050364	5.40738034344172	24.9766834545794	31.4676151254212	99.9813467636635	34.407809909744	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
r2196	57.433314680097	26.0138838143953	69.3154262264503	4.84837139648072	97.6496922216004	72.9047706759993	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CYTK12	56.8177578809923	3.50748995250274	17.123670956911	22.8378884312991	90.7479947770938	5.83901270952293	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
EX_k[e]	55.3068457377355	26.5436609426379	79.8358515202388	36.5031823287158	81.6825219175527	85.6511328053048	Exchange	Exchange	Exchange	Exchange/demand reaction	Exchange	Exchange	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
EX_dlnlcg[e]	55.17627308338	72.3967848008769	79.8358515202388	76.4882066641707	94.7957470621153	85.6511328053048	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
HSD11B2r	54.8405148293229	16.7153818048959	79.8358515202388	23.8487457880943	81.6825219175527	19.0458648001474	Steroid metabolism	Steroid metabolism	Steroid metabolism	Steroid metabolism	Steroid metabolism	Steroid metabolism	cortisol synthesis, er	cortisol synthesis, er	cortisol synthesis, er	cortisol synthesis, er	cortisol synthesis, er	cortisol synthesis, er	[r]	[r]	[r]	[r]	[r]	[r]
URIt5le	54.8405148293229	8.87833394227256	79.8358515202388	24.8408835642082	81.6825219175527	NA	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	NA
C02712te	54.8405148293229	25.8677383997077	79.8358515202388	27.4803444402845	81.6825219175527	36.1760913612083	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_C02712[e]	54.8405148293229	25.8677383997077	79.8358515202388	27.4803444402845	81.6825219175527	36.1760913612083	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
