name	Ctrl_unchanged	ST_top
10FTHF7GLUtl	1	0
10FTHFtl	1	0
11DOCRTSLte	0	1
12DHCHOLt	0	1
13_CIS_RETNte	0	1
1331TAALThr	0	1
1331TACRtev	0	1
13DAMPPte	0	1
13DMTitr	0	1
13DMTtep	0	1
13HTACRitr	0	1
1531TACRhr	0	1
1531TACRitr	0	1
1531TACRtev	0	1
15DMTitr	0	1
15DMTtep	0	1
17AHPRGSTRNte	0	1
1A25DHVITD3te	0	1
1a25DHVITD3TRn	0	1
2H3MVc	1	0
2H3MVte	1	0
2HATVACIDtep	1	0
2HATVACIDthc	1	0
2HBO	1	0
2HIVc	1	0
2HIVte	1	0
2M3HVACc	1	0
2M3HVACte	1	0
2M3OVACm	1	0
2M3OVACtm	1	0
2M3OVCOAm	1	0
2MB2COAc	0	1
2MOPtm	1	0
2OBUTt	1	0
2OXOADOXm	1	0
2OXOADPTm	1	0
2PGtr	1	0
31DMThr	0	1
31DMTitr	0	1
31DMTtep	0	1
34DHOXMANDte	0	1
34DHOXPEGOX	0	1
34DHOXPEGt	0	1
34DHPHAMT	0	1
34DHPHAte	0	1
34DHPHEt	0	1
34DHXMANDACOX_NADP_	0	1
34HPLFM	1	0
34HPLte	1	0
34HPLtm	1	0
34HPPte	1	0
35DHPVStep	1	0
35DHPVSthc	1	0
3AIBSYMPt	1	0
3AIBt1	1	0
3DHCHOLt	0	1
3DHDCAt	0	1
3DSPHR	1	0
3HADICOAx	0	1
3HADPACte	0	1
3HADPACtxc	0	1
3HADPACx	0	1
3HBCDm	0	1
3HBCOARc	0	1
3HPVSCOAhc	0	1
3HPVSCOAitm	0	1
3HPVSCOAitx	0	1
3HPVStep	1	0
3HPVSTETCOAhcm	0	1
3HPVSTETCOAhcx	0	1
3HPVSTETCOAitm	0	1
3HPVSTETCOAitx	0	1
3HPVSTEThc	0	1
3HPVSTETtev	0	1
3HPVSthc	1	0
3ISPVStep	1	0
3ISPVSthc	1	0
3MHISt1	1	0
3MHISt2	1	0
3MHISt3	1	0
3MOBte	1	0
3MOPte	1	0
3MOX4HOXMte	0	1
3MOX4HOXPGALDOX	0	1
3MOXTYRt	0	1
3OHSEBACte	0	1
3OHSEBACtxc	0	1
3OHSEBACx	0	1
3OHSEBCOAx	0	1
3OHSUBACte	0	1
3OHSUBACtxc	0	1
3OHSUBACx	0	1
3OHSUBCOAx	0	1
3PGtr	1	0
3SALAASPm	1	0
3SALACBOXL	1	0
3SALATAi	1	0
3SPYRSP	1	0
4HGLSDm	1	0
4HPROLTASCT1	1	0
4MOPte	1	0
4TMEABUTNt1	1	0
4TMEABUTNt2	1	0
56DURAt	1	0
56DURAtd	1	0
5ADTSTSTERONESte	0	1
5ADTSTSTERONEte	0	1
5AOPtm	1	0
5FTHFt2	0	1
5HOXINDOAtr	0	1
5HPETtd	1	0
5MTAte	0	1
5MTHFt	1	0
7DHCDCHOLt	0	1
7DHCHOLt	0	1
7DHCHSTEROLtd	1	0
7DHCHSTEROLtr	1	0
7DHFtl	1	0
7THFtl	1	0
A_MANASEly	0	1
A4GALTg	0	1
AACTOOR	0	1
AACTte	0	1
AATAi	1	0
ABT_Dt2	0	1
ABTD	0	1
ABTD1	0	1
ABTti	0	1
ABUTD	1	1
ABUTt4_2_r	1	0
ACACT10m	1	0
ACACT1rm	1	0
ACACt2	1	0
ACACt2m	1	0
ACACT8p	0	1
ACACT9p	0	1
ACACtx	1	0
ACCOAC	1	0
ACCOAL	1	0
ACCOAtn	1	0
ACER12r	0	1
ACGALtly	0	1
ACGALtr	0	1
ACGAM2E	0	1
ACGAM6PSi	0	1
ACGAMPM	0	1
ACGAMtly	1	0
ACGPID	0	1
ACHOMm	0	1
ACHOMte	0	1
ACHOMtm	0	1
ACHtn	1	0
ACITL	1	0
ACLYSHYc	1	0
ACLYSt	1	0
ACNACNGAL14ACGLCGALGLUSIDEte	0	1
ACNACNGALGBSIDEte	0	1
ACNACNGALGBSIDEtg	0	1
ACNAMlt	0	1
ACNAMtn	1	0
ACNAMtr	0	1
ACNMLr	0	1
ACOAD10m	1	0
ACONTm	1	0
ACRNte	0	1
ACS	1	0
ACtg	0	1
ADEt	1	0
ADK1	1	0
ADK3	1	0
ADK3m	1	0
ADKd	1	0
ADNCNT3tc	1	0
ADNK1	1	0
ADNtm	1	0
ADPACDAc	0	1
ADPACtd	0	1
ADPCOACROT	0	1
ADPOHc	1	0
ADPOHt	1	0
ADPtx	1	0
ADRNCOAtx	0	1
ADRNCPT1	0	1
ADRNCPT2	0	1
ADRNCRNt	1	0
ADSL1	1	0
ADSL2	1	0
ADSS	1	0
AG13T16g	0	1
AG13T17g	0	1
AG13T18g	0	1
AG13T1g	0	1
AG13T2g	0	1
AG13T3g	0	1
AHCYStd	1	0
AHCYStr	0	1
AHEXASE2ly	0	1
AHEXASEly	0	1
AICART	1	0
AIRCr	1	0
AKGDm	1	0
ALAALACNc	1	0
ALAARGCYSr	1	0
ALAARGCYSt	1	0
ALAARGGLYr	1	0
ALAARGGLYt	1	0
ALAASNLEUr	1	0
ALAASNLEUt	1	0
ALADGLNexR	1	0
ALADGLYexR	1	0
ALAGLNexR	1	0
ALAGLYexR	1	0
ALAGLYLYSr	1	0
ALAGLYLYSt	1	0
ALAHISALAr	1	0
ALAHISALAt	1	0
ALALYSTHRr	1	0
ALALYSTHRt	1	0
ALAR	1	0
ALASm	1	0
ALAt2r	1	0
ALAt4	1	0
ALATA_L	1	0
ALCD21_D	1	0
ALCD22_D	1	0
ALDD20x	0	1
ALDD20xm	0	1
ALDD2x	1	0
ALDD2y	1	0
ALLTNt	0	1
AM1ALCShr	0	1
AM1ALCStep	0	1
AM1CSAtep	0	1
AM4N9CShc	0	1
AM4N9CStev	0	1
AM4NCShr	0	1
AM4NCStep	0	1
AM9CSAtep	0	1
AMETAMte	0	1
AMETr	0	1
AMETt2m	1	0
AMETtd	1	0
AMPDA	1	0
AMPtp	1	0
ANDRSTRNte	0	1
ANTHte	0	1
APAT2rm	0	1
ARAB_Lt	0	1
ARABR	0	1
ARACHCPT1	1	0
ARACHCPT2	1	0
ARACHCRNt	1	0
ARACHDCOAtx	1	0
ARACHDtr	1	0
