	Var1	Freq
20	HMR_3631	2
23	HMR_3636	2
29	HMR_3645	2
42	HMR_3659	2
43	HMR_3660	2
49	HMR_3669	2
63	HMR_3690	2
66	HMR_3695	2
72	HMR_3704	2
85	HMR_3718	2
86	HMR_3719	2
92	HMR_3728	2
1	HMGCOASim	1
2	HMGLm	1
3	HMGLx	1
4	HMR_1543	1
5	HMR_1544	1
6	HMR_1545	1
7	HMR_1546	1
8	HMR_1547	1
9	HMR_1548	1
10	HMR_1549	1
11	HMR_1550	1
12	HMR_1551	1
13	HMR_1552	1
14	HMR_3625	1
15	HMR_3626	1
16	HMR_3627	1
17	HMR_3628	1
18	HMR_3629	1
19	HMR_3630	1
21	HMR_3633	1
22	HMR_3635	1
24	HMR_3637	1
25	HMR_3639	1
26	HMR_3640	1
27	HMR_3642	1
28	HMR_3644	1
30	HMR_3646	1
31	HMR_3647	1
32	HMR_3648	1
33	HMR_3649	1
34	HMR_3650	1
35	HMR_3651	1
36	HMR_3652	1
37	HMR_3654	1
38	HMR_3655	1
39	HMR_3656	1
40	HMR_3657	1
41	HMR_3658	1
44	HMR_3663	1
45	HMR_3665	1
46	HMR_3666	1
47	HMR_3667	1
48	HMR_3668	1
50	HMR_3670	1
51	HMR_3677	1
52	HMR_3678	1
53	HMR_3679	1
54	HMR_3680	1
55	HMR_3681	1
56	HMR_3682	1
57	HMR_3684	1
58	HMR_3685	1
59	HMR_3686	1
60	HMR_3687	1
61	HMR_3688	1
62	HMR_3689	1
64	HMR_3692	1
65	HMR_3694	1
67	HMR_3696	1
68	HMR_3698	1
69	HMR_3699	1
70	HMR_3701	1
71	HMR_3703	1
73	HMR_3705	1
74	HMR_3706	1
75	HMR_3707	1
76	HMR_3708	1
77	HMR_3709	1
78	HMR_3710	1
79	HMR_3711	1
80	HMR_3713	1
81	HMR_3714	1
82	HMR_3715	1
83	HMR_3716	1
84	HMR_3717	1
87	HMR_3722	1
88	HMR_3724	1
89	HMR_3725	1
90	HMR_3726	1
91	HMR_3727	1
93	HMR_3729	1
94	HMR_3736	1
95	HMR_3737	1
96	HMR_3738	1
97	HMR_3739	1
98	HMR_3740	1
99	HMR_3741	1
100	r0783	1
101	RE3136C	1
