name	FVA_BD_norm_t2$subSystem	FVA_BD_NR_norm_t2$subSystem	FVA_BD_R_norm_t2$subSystem	MTA_BD_norm_t2$subSystem_CB	MTA_BD_NR_norm_t2$subSystem_CBNR	MTA_BD_R_norm_t2$subSystem_CBR
Eicosanoid metabolism	1	0	1	0	0	0
Keratan sulfate degradation	1	0	1	0	1	0
Methionine and cysteine metabolism	1	0	1	0	0	0
Nucleotide salvage pathway	1	0	0	0	0	0
Purine synthesis	1	0	0	0	0	0
Transport, lysosomal	1	0	1	0	1	0
O-glycan metabolism	0	0	1	0	0	0
Transport, golgi apparatus	0	0	1	0	0	0
Fatty acid oxidation	0	1	0	1	0	0
Phenylalanine metabolism	0	1	0	0	0	0
Tetrahydrobiopterin metabolism	0	1	0	0	0	0
Transport, endoplasmic reticular	0	1	0	0	0	0
Transport, nuclear	0	1	0	0	0	0
Tyrosine metabolism	0	1	0	0	0	0
Inositol phosphate metabolism	0	0	0	1	0	0
Phosphatidylinositol phosphate metabolism	0	0	0	1	1	0
Thiamine metabolism	0	0	0	1	0	0
Vitamin A metabolism	0	0	0	1	0	1
Drug metabolism	0	0	0	0	0	1
Miscellaneous	0	0	0	0	0	1
Transport, extracellular	0	0	0	0	1	1
Heparan sulfate degradation	0	0	0	0	1	0
N-glycan synthesis	0	0	0	0	1	0
