subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Cholesterol metabolism	FVA_BD_NR_abs	HMGCOASim	cholesterol synthesis	h2o[m] + accoa[m] + aacoa[m]  -> h[m] + coa[m] + hmgcoa[m] 	Hydroxymethylglutaryl Coenzyme A Synthase (Ir)	4.1.3.5
Cholesterol metabolism	FVA_BD_NR_abs	HMGLm	ketogenesis	hmgcoa[m]  -> accoa[m] + acac[m] 	Hydroxymethylglutaryl Coenzyme A Lyase	4.1.3.4
Cholesterol metabolism	FVA_BD_NR_abs	HMGLx	ketogenesis	hmgcoa[x]  -> accoa[x] + acac[x] 	Hydroxymethylglutaryl Coenzyme A Lyase	4.1.3.4
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3625	NA	chsterol[r] + ddcacoa[r]  -> coa[r] + M01498[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3626	NA	chsterol[r] + M03050[r]  -> coa[r] + M01510[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3627	NA	chsterol[r] + tdcoa[r]  -> coa[r] + M01501[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3628	NA	chsterol[r] + M00129[r]  -> coa[r] + M01487[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3629	NA	chsterol[r] + HC10784[r]  -> coa[r] + M01479[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3630	NA	chsterol[r] + M01141[r]  -> coa[r] + M01470[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3631	NA	chsterol[r] + ptdcacoa[r]  -> coa[r] + M01506[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3633	NA	chsterol[r] + M01191[r]  -> coa[r] + M01477[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3635	NA	chsterol[r] + hpdcacoa[r]  -> coa[r] + M01495[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3636	NA	chsterol[r] + M00004[r]  -> coa[r] + M01454[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3637	NA	chsterol[r] + M01237[r]  -> coa[r] + M01485[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3639	NA	chsterol[r] + M00020[r]  -> coa[r] + M01464[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3640	NA	chsterol[r] + vacccoa[r]  -> coa[r] + M01489[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3642	NA	chsterol[r] + M00127[r]  -> coa[r] + M01486[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3644	NA	chsterol[r] + lneldccoa[r]  -> coa[r] + M01474[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3645	NA	chsterol[r] + M02612[r]  -> coa[r] + M01502[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3646	NA	chsterol[r] + arachcoa[r]  -> coa[r] + M01492[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3647	NA	chsterol[r] + M00018[r]  -> coa[r] + M01463[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3648	NA	chsterol[r] + CE5151[r]  -> coa[r] + M01458[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3649	NA	chsterol[r] + M01236[r]  -> coa[r] + M01484[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3650	NA	chsterol[r] + M00123[r]  -> coa[r] + M01481[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3651	NA	chsterol[r] + M00101[r]  -> coa[r] + M01469[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3652	NA	chsterol[r] + M02052[r]  -> coa[r] + M01494[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3654	NA	chsterol[r] + CE5155[r]  -> coa[r] + M01462[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3655	NA	chsterol[r] + M00006[r]  -> coa[r] + M01457[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3656	NA	chsterol[r] + M03047[r]  -> coa[r] + M01509[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3657	NA	chsterol[r] + ttccoa[r]  -> coa[r] + M01508[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3658	NA	chsterol[r] + nrvnccoa[r]  -> coa[r] + M01465[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3659	NA	chsterol[r] + hexccoa[r]  -> coa[r] + M01496[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3660	NA	chsterol[r] + M02112[r]  -> coa[r] + M01497[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3663	NA	chsterol[r] + eicostetcoa[r]  -> coa[r] + M01480[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3665	NA	chsterol[r] + clpndcoa[r]  -> coa[r] + M01475[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3666	NA	chsterol[r] + tetpent3coa[r]  -> coa[r] + M01482[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3667	NA	chsterol[r] + tethex3coa[r]  -> coa[r] + M01471[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3668	NA	chsterol[r] + c226coa[r]  -> coa[r] + M01466[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3669	NA	chsterol[r] + M00012[r]  -> coa[r] + M01455[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
Cholesterol metabolism	FVA_BD_NR_abs	HMR_3670	NA	chsterol[r] + M00343[r]  -> coa[r] + M01460[r] 	Acyl Coenzyme A:Cholesterol O-Acyltransferase	EC:2.3.1.26
