subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Methionine and cysteine metabolism	FVA_BD_abs	HMR_6515	NA	so3[c] + mercppyr[c]  -> pyr[c] + tsul[c] 	3-Mercaptopyruvate:Cyanide Sulfurtransferase	EC:2.8.1.2
Methionine and cysteine metabolism	FVA_BD_abs	CYSTA	NA	akg[c] + cys_L[c]  <=> glu_L[c] + mercppyr[c] 	Cysteine Transaminase	2.6.1.3
Methionine and cysteine metabolism	FVA_BD_abs	MCLACCYSR	NA	nad[c] + cys_L[c] + mercplac[c]  -> h[c] + nadh[c] + mercplaccys[c] 	3-Mercaptolactate:Cysteine Reductase	
Methionine and cysteine metabolism	FVA_BD_abs	MCLOR	NA	nad[c] + mercplac[c]  <=> h[c] + nadh[c] + mercppyr[c] 	3-Mercaptolactate:NAD+ Oxidoreductase	1.1.1.27
Methionine and cysteine metabolism	FVA_BD_abs	SFCYSc	NA	h[c] + so3[c] + cys_L[c]  <=> slfcys[c] 	Formation of Sulfocysteine	
Methionine and cysteine metabolism	FVA_BD_abs	3SALATAi	cysteine metabolism	h[c] + akg[c] + 3sala[c]  -> glu_L[c] + 3snpyr[c] 	3-Sulfino-Alanine Transaminase (Irreversible)	2.6.1.1
Methionine and cysteine metabolism	FVA_BD_abs	3SALATAim	NA	h[m] + akg[m] + 3sala[m]  -> glu_L[m] + 3snpyr[m] 	3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial	2.6.1.1
Methionine and cysteine metabolism	FVA_BD_abs	3SPYRSP	cysteine metabolism	h2o[c] + 3snpyr[c]  -> h[c] + pyr[c] + so3[c] 	3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)	2.6.1.1
Methionine and cysteine metabolism	FVA_BD_abs	3SPYRSPm	NA	h2o[m] + 3snpyr[m]  -> h[m] + pyr[m] + so3[m] 	3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial	
Methionine and cysteine metabolism	FVA_BD_abs	r0595	NA	h[c] + so3[c] + mercppyr[c]  -> pyr[c] + HC01501[c] 	3-Mercaptopyruvate:Cyanide Sulfurtransferase	2.8.1.2
Methionine and cysteine metabolism	FVA_BD_norm_t2	HMR_6515	NA	so3[c] + mercppyr[c]  -> pyr[c] + tsul[c] 	3-Mercaptopyruvate:Cyanide Sulfurtransferase	EC:2.8.1.2
Methionine and cysteine metabolism	FVA_BD_norm_t2	CYSTA	NA	akg[c] + cys_L[c]  <=> glu_L[c] + mercppyr[c] 	Cysteine Transaminase	2.6.1.3
Methionine and cysteine metabolism	FVA_BD_norm_t2	MCLACCYSR	NA	nad[c] + cys_L[c] + mercplac[c]  -> h[c] + nadh[c] + mercplaccys[c] 	3-Mercaptolactate:Cysteine Reductase	
Methionine and cysteine metabolism	FVA_BD_norm_t2	MCLOR	NA	nad[c] + mercplac[c]  <=> h[c] + nadh[c] + mercppyr[c] 	3-Mercaptolactate:NAD+ Oxidoreductase	1.1.1.27
Methionine and cysteine metabolism	FVA_BD_norm_t2	SFCYSc	NA	h[c] + so3[c] + cys_L[c]  <=> slfcys[c] 	Formation of Sulfocysteine	
