name	FVA_ST_abs$subSystem	FVA_ST_norm_t1$subSystem	FVA_ST_norm_t2$subSystem	MTA_ST_abs$subSystem_CS	MTA_ST_norm_t1$subSystem_CS	MTA_ST_norm_t2$subSystem_CS
Glyoxylate and dicarboxylate metabolism	1	0	0	0	0	0
Methionine and cysteine metabolism	1	0	0	0	0	0
Chondroitin sulfate degradation	0	0	0	1	0	0
Chondroitin synthesis	0	0	0	1	0	0
Linoleate metabolism	0	0	0	1	0	0
Nucleotide interconversion	0	0	0	1	1	1
Fatty acid oxidation	0	1	1	0	0	1
Pentose phosphate pathway	0	1	0	0	0	0
Nucleotide salvage pathway	0	0	0	0	1	0
Heparan sulfate degradation	0	0	0	0	0	1
Keratan sulfate degradation	0	0	0	0	0	1
