Dataset	Phenotype	ExpThreshold	MEM	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	fluxInconsistentRxnsPrct	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
Zhang	Primary	abs	iMAT	4273	6305	2249	1430	22.680412371134	1843	1809	98.1551817688551	649	337	51.9260400616333
Zhang	Primary	norm_t1	iMAT	3771	5528	2249	1390	25.1447178002894	1843	1379	74.8236570808464	649	282	43.4514637904468
Zhang	Primary	norm_t2	iMAT	4055	5958	2249	1491	25.0251762336354	1843	1591	86.3266413456321	649	328	50.5392912172573
Vadodaria	Ctrl.a	abs	iMAT	4188	6196	2249	1607	25.9360877985797	1765	1718	97.3371104815864	649	343	52.8505392912173
Vadodaria	Ctrl.a	norm_t1	iMAT	3789	5428	2249	1559	28.7214443625645	1765	1293	73.257790368272	649	282	43.4514637904468
Vadodaria	Ctrl.a	norm_t2	iMAT	4077	5916	2249	1721	29.0906017579446	1765	1535	86.9688385269122	649	310	47.7657935285054
Vadodaria	BD	abs	iMAT	4212	6222	2249	1725	27.7242044358727	1765	1722	97.5637393767705	649	336	51.7719568567026
Vadodaria	BD	norm_t1	iMAT	3871	5573	2249	1602	28.7457383814821	1765	1335	75.6373937677054	649	288	44.3759630200308
Vadodaria	BD	norm_t2	iMAT	4063	5880	2249	1681	28.5884353741497	1765	1530	86.685552407932	649	307	47.3035439137134
Vadodaria	BD_R	abs	iMAT	4181	6189	2249	1710	27.6296655356277	1765	1712	96.9971671388102	649	335	51.617873651772
Vadodaria	BD_R	norm_t1	iMAT	3816	5442	2249	1534	28.1881661153988	1765	1278	72.4079320113314	649	282	43.4514637904468
Vadodaria	BD_R	norm_t2	iMAT	4037	5832	2249	1616	27.7091906721536	1765	1529	86.628895184136	649	303	46.6872110939908
Vadodaria	BD_NR	abs	iMAT	4171	6185	2249	1614	26.0953920776071	1765	1714	97.1104815864023	649	333	51.3097072419106
Vadodaria	BD_NR	norm_t1	iMAT	3800	5457	2249	1534	28.1106835257468	1765	1313	74.3909348441926	649	288	44.3759630200308
Vadodaria	BD_NR	norm_t2	iMAT	4026	5888	2249	1656	28.125	1765	1516	85.8923512747875	649	314	48.382126348228
Koskuvi	Ctrl.b	abs	iMAT	4238	6266	2249	1693	27.018831790616	1836	1785	97.2222222222222	649	347	53.4668721109399
Koskuvi	Ctrl.b	norm_t1	iMAT	3706	5361	2249	1604	29.919791083753	1836	1334	72.6579520697168	649	261	40.2157164869029
Koskuvi	Ctrl.b	norm_t2	iMAT	3975	5773	2249	1598	27.6805820197471	1836	1530	83.3333333333333	649	307	47.3035439137134
Koskuvi	HT	abs	iMAT	4222	6277	2249	1686	26.8599649514099	1836	1785	97.2222222222222	649	323	49.768875192604
Koskuvi	HT	norm_t1	iMAT	3679	5342	2249	1450	27.1433919880195	1836	1289	70.2069716775599	649	287	44.2218798151002
Koskuvi	HT	norm_t2	iMAT	3977	5803	2249	1597	27.5202481475099	1836	1528	83.2244008714597	649	296	45.6086286594761
Koskuvi	ST	abs	iMAT	4220	6273	2249	1713	27.3075083692013	1836	1788	97.3856209150327	649	336	51.7719568567026
Koskuvi	ST	norm_t1	iMAT	3752	5429	2249	1507	27.7583348682999	1836	1324	72.1132897603486	649	285	43.9137134052388
Koskuvi	ST	norm_t2	iMAT	3999	5824	2249	1627	27.9361263736264	1836	1535	83.6056644880174	649	307	47.3035439137134
