del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
r1566	0.371038900743341	6.75915628657911	Transport, extracellular	8140.1	NA	intercompartmental	100
SERt4	0.336261597111348	7.87935702522559	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.9838423008564
ALAt4	0.318509560363925	11.3718588157201	Transport, extracellular	54407.1 or 6542.1 or 11254.1 or 6541.1 or 81539.1 or 55089.1 or 84889.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.9676846017127
CYSSNAT5tc	0.315510432671297	3.58337385595376	Transport, extracellular	92745.1	NA	intercompartmental	99.9515269025691
CYSt4	0.288799692589938	3.84432581094028	Transport, extracellular	11254.1 or 54407.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.9353692034254
r2535	0.265393463563794	4.82790390402902	Transport, extracellular	8501.1	NA	intercompartmental	99.9192115042818
r1650	0.260139908228996	4.59940842420699	Transport, extracellular	8140.1	NA	intercompartmental	99.9030538051382
r2526	0.256859778526077	3.83614313193922	Transport, extracellular	8501.1	NA	intercompartmental	99.8868961059945
GLYt4	0.256306555056101	4.15974747666566	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.8707384068509
r1554	0.255345017939566	6.56247350356359	Transport, extracellular	8140.1	NA	intercompartmental	99.8545807077072
r1593	0.251704610039437	6.20635019134868	Transport, extracellular	8140.1	NA	intercompartmental	99.8384230085636
r1602	0.251429108240442	6.0504657075651	Transport, extracellular	8140.1	NA	intercompartmental	99.8222653094199
r1552	0.246850233259464	4.05932238653739	Transport, extracellular	8140.1	NA	intercompartmental	99.8061076102763
r1563	0.24228224356659	6.66456129094959	Transport, extracellular	8140.1	NA	intercompartmental	99.7899499111327
THRGLYexR	0.234992240502069	5.62849706214882	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.773792211989
r1551	0.23490671718436	5.42303226369872	Transport, extracellular	8140.1	NA	intercompartmental	99.7576345128454
r1556	0.23349594909234	5.27889899451663	Transport, extracellular	8140.1	NA	intercompartmental	99.7414768137017
r1612	0.22822095885766	5.96935299646987	Transport, extracellular	8140.1	NA	intercompartmental	99.7253191145581
r2534	0.227604870981346	4.98737372612397	Transport, extracellular	8501.1	NA	intercompartmental	99.7091614154144
r1561	0.22591183986854	8.03021081812878	Transport, extracellular	8140.1	NA	intercompartmental	99.6930037162708
PIt8	0.219987317675161	7.10611976754375	Transport, extracellular	6574.1 or 6575.1	NA	intercompartmental	99.6768460171272
r1588	0.218185294169218	4.2416873739142	Transport, extracellular	8140.1	NA	intercompartmental	99.6606883179835
ALAGLNexR	0.217522407371429	4.41151601063282	Transport, extracellular	6520.1 and 56301.1	NA	intercompartmental	99.6445306188399
r1585	0.215145773589042	4.47157497255769	Transport, extracellular	8140.1	NA	intercompartmental	99.6283729196962
r1547	0.212053093511904	4.27424704256953	Transport, extracellular	8140.1	NA	intercompartmental	99.6122152205526
TRPt	0.210442932638263	5.09252435050049	Transport, extracellular	120103.1 or 117247.1	NA	intercompartmental	99.596057521409
RE3269C	0.205628689706313	4.12317881698787	Phosphatidylinositol phosphate metabolism	8897.1 or 8897.3 or 8897.2 or 8898.1	NA	[c]	99.5798998222653
