del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
PIt7	42.4807425779923	1.97769250228979	Transport, extracellular	10050.1 or 10786.1 or 10246.1 or 6568.1 or 6569.1 or 10568.1	NA	intercompartmental	100
r1602	4.50967203776551	5.94392238846718	Transport, extracellular	8140.1	NA	intercompartmental	99.9826929733472
CRNtuNa	3.53192663885555	4.12355956793365	Transport, extracellular	6584.1	NA	intercompartmental	99.9653859466944
PROt4	2.88428850647648	3.26452183904526	Transport, extracellular	55089.1 or 81539.1 or 54407.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.9480789200415
PCRNte	2.86369021495253	5.8111172001935	Transport, extracellular	6584.1	NA	intercompartmental	99.9307718933887
HC02149td	2.86369021495203	5.81111720019363	Transport, extracellular		NA	intercompartmental	99.9134648667359
r1652	2.79227381908934	0.233923887785928	Transport, extracellular	8140.1	NA	intercompartmental	99.8961578400831
PROt4_2_r	1.91883061466864	6.15917958167536	Transport, extracellular	6534.1	NA	intercompartmental	99.8788508134302
CRNt	1.66777266671836	4.93073475192351	Transport, extracellular	6584.1	transport, extracellular	intercompartmental	99.8615437867774
3MHISt1	1.21546969593831	0.304681835929997	Transport, extracellular		NA	intercompartmental	99.8442367601246
r1621	1.18865834111599	7.71298964073311	Transport, extracellular	8140.1	NA	intercompartmental	99.8269297334718
NAt	1.04052119360912	3.72035437793962	Transport, extracellular	6526.1 or 6523.1 or 6528.1	NA	intercompartmental	99.809622706819
r1566	1.03453345031557	6.39373173317618	Transport, extracellular	8140.1	NA	intercompartmental	99.7923156801661
r1824	0.998054820371352	4.6607842967833	Transport, extracellular	9057.1	NA	intercompartmental	99.7750086535133
r1636	0.994558079838108	7.95329883489109	Transport, extracellular	8140.1	NA	intercompartmental	99.7577016268605
FATP3t	0.98160180966082	2.01593508865661	Transport, extracellular	376497.1 or 376497.2	NA	intercompartmental	99.7403946002077
PIt8	0.969518491853573	1.32564832239862	Transport, extracellular	6574.1 or 6575.1	NA	intercompartmental	99.7230875735549
FATP8t	0.958351135373427	0.867934134121956	Transport, extracellular	10998.1 or 11001.1	NA	intercompartmental	99.705780546902
LGNCt	0.958351135373427	0.867934134121956	Transport, extracellular	11001.1	NA	intercompartmental	99.705780546902
HDCAtr	0.956224974247121	3.44202718045684	Transport, extracellular	10998.1	NA	intercompartmental	99.6711664935964
FATP1t	0.955382058233384	3.51625911225605	Transport, extracellular	376497.2 or 10999.1 or 376497.1 or 11000.1	NA	intercompartmental	99.6538594669436
LNLCCRNtd	0.954466148573459	0.790502573270987	Transport, extracellular		NA	intercompartmental	99.6365524402908
LNLCCRNNAt	0.954466148573451	0.79050257327096	Transport, extracellular		NA	intercompartmental	99.6192454136379
FATP2t	0.952773484257485	0.847010203521239	Transport, extracellular	376497.1 or 376497.2	NA	intercompartmental	99.6019383869851
NACUP	0.86289927541946	2.93577897595686	Transport, extracellular		NA	intercompartmental	99.5846313603323
r1642	0.798899231436765	7.89928510530993	Transport, extracellular	8140.1	NA	intercompartmental	99.5673243336795
FATP7t	0.772163424239896	0.345642045405962	Transport, extracellular	10998.1 or 11001.1	NA	intercompartmental	99.5500173070266
ARACHt	0.746614906354627	3.66973971050628	Transport, extracellular		NA	intercompartmental	99.5327102803738
FATP4t	0.746614906354627	3.66973971050628	Transport, extracellular	10998.1	NA	intercompartmental	99.5327102803738
r1591	0.745343251437848	6.84617654377749	Transport, extracellular	8140.1	NA	intercompartmental	99.4980962270682
r1650	0.739009430613521	7.23118608147357	Transport, extracellular	8140.1	NA	intercompartmental	99.4807892004154
ACRNte	0.714924037600545	1.99806487104982	Transport, extracellular	6584.1	NA	intercompartmental	99.4634821737626
ACRNtr	0.714924037600545	1.99806487104982	Transport, extracellular		transport, extracellular	intercompartmental	99.4634821737626
GLNtN1	0.661800014536635	1.02148556385862	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental	99.4288681204569
r0839	0.660104723154915	0.153320287623307	Transport, extracellular		NA	intercompartmental	99.4115610938041
OROTGLUt	0.660104723154915	0.153320287623307	Transport, extracellular	10864.1	NA	intercompartmental	99.4115610938041
SERtN1	0.652947948274015	1.85633997653519	Transport, extracellular	92745.1	NA	intercompartmental	99.3769470404984
HIStN1	0.630090023522217	3.49662828589021	Transport, extracellular	10991.1	NA	intercompartmental	99.3596400138456
ASNtN1	0.605336187739278	4.63418500805438	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental	99.3423329871928
r2439	0.581816976186656	4.60040861776467	Transport, extracellular	10861.1	NA	intercompartmental	99.32502596054
EX_pi[e]	0.55625211438292	2.27487460893653	Exchange/demand reaction		NA	[e]	99.3077189338872
r1562	0.551706043907442	0.969345985315257	Transport, extracellular	8140.1	NA	intercompartmental	99.2904119072343
CYSGLYexR	0.547616332480966	0.185843686417206	Transport, extracellular	(6520.1 and 23428.1) or (6520.1 and 23428.2) or (56301.1 and 6520.1)	NA	intercompartmental	99.2731048805815
NAHCO3_HCLt	0.544909384098175	2.53042549844985	Transport, extracellular	9498.1 or 57282.1	NA	intercompartmental	99.2557978539287
FATP6t	0.539107435760208	3.55032173988236	Transport, extracellular	10998.1 or 11001.1	NA	intercompartmental	99.2384908272759
r1568	0.533368736885352	0.208652929897811	Transport, extracellular	8140.1	NA	intercompartmental	99.2211838006231
