del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
ICDHxm	3.8350310881209	5.22430775296241	Citric acid cycle	( 3421.2 and 3420.3 and 3419.1 ) or ( 3420.1 and 3421.1 and 3419.1 ) or ( 3420.1 and 3421.1 and 3419.1 ) or ( 3420.3 and 3421.1 and 3419.1 ) or ( 3421.1 and 3419.1 and 3420.2 ) or ( 3421.2 and 3419.1 and 3420.2 )	TCA cycle, mitochondria	[m]	100
ALAtN1	2.75992903062782	1.92335265627695	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental	99.9828355647099
GLNtN1	2.23229220923075	0.485312784005425	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental	99.9656711294198
NAt3_1	1.67827524127105	2.44018668362496	Transport, extracellular	389015.1 or 6548.1 or 6550.1 or 6549.1 or 6553.1	NA	intercompartmental	99.9485066941298
r0754	0.968505016567518	1.55531770212352	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[m]	99.9313422588397
r0755	0.968505016567518	1.55531770212352	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[m]	99.9313422588397
RE2626M	0.963450816455448	1.33302282458923	Bile acid synthesis	1593.1	NA	[m]	99.8970133882595
RE3346M	0.963450816455448	1.33302282458923	Bile acid synthesis	217.1 or 219.1 or 501.1	NA	[m]	99.8970133882595
r0752	0.956799435045209	1.11974739163781	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	NA	[m]	99.8626845176794
r0753	0.956799435045209	1.11974739163781	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	NA	[m]	99.8626845176794
PROt2r	0.950135448784405	0.977378691773806	Transport, extracellular	153201.1 or 206358.1	NA	intercompartmental	99.8283556470992
MTHFDm	0.941022011781526	0.808486260629173	Folate metabolism	25902.1 or 10797.1 or 4522.1	NA	[m]	99.8111912118091
GLYSNAT5tc	0.908508048525229	0.717424806797752	Transport, extracellular	92745.1	NA	intercompartmental	99.794026776519
r0756	0.89245098448331	0.418553192172089	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[m]	99.776862341229
r0757	0.89245098448331	0.418553192172089	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[m]	99.776862341229
r2471	0.746919534738434	2.46939819825293	Transport, extracellular	206358.1	NA	intercompartmental	99.7425334706488
MTHFD2m	0.569345755172683	0.798133572501963	Folate metabolism	10797.1	NA	[m]	99.7253690353587
PHCDm	0.567253740511491	3.45184438110317	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]	99.7082046000687
ADNt4	0.492395779073822	1.76705886142247	Transport, extracellular	9154.2 or 9154.1 or 64078.1 or 9153.1	NA	intercompartmental	99.6910401647786
DOPAENT4tc	0.46197731722496	1.13539207550212	Transport, extracellular	222962.1	NA	intercompartmental	99.6738757294885
CALAtr	0.437780495234602	2.74414458919208	Transport, extracellular		NA	intercompartmental	99.6567112941984
DALAt2r	0.436259875376377	4.09107309094446	Transport, extracellular	206358.1	NA	intercompartmental	99.6395468589083
ORN_Dte	0.42662639876479	0.603705474495957	Transport, extracellular		NA	intercompartmental	99.6223824236183
HMR_9180	0.42662639876479	0.603705474495957	Transport, extracellular		NA	intercompartmental	99.6223824236183
