del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
r1591	1.99999999998255	27.1913944659097	Transport, extracellular	8140.1	NA	intercompartmental	100
r1552	1.99999999993919	8.23718904437895	Transport, extracellular	8140.1	NA	intercompartmental	99.9816244027931
ALAGLYexR	1.99999999991006	5.4755342799049	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.9632488055862
r0081	0.333333333177857	0.0869980460161063	Citric acid cycle	84706.1 or 2875.1	NA	[m]	99.9448732083793
r0086	0.333333333177857	0.0869980460161063	Urea cycle	56954.1	NA	[m]	99.9448732083793
r0157	0.333333333177857	0.0869980460161063	Urea cycle		NA	[m]	99.9448732083793
SERt4	0.317806641480549	1.85090984332028	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.8897464167585
THRGLYexR	0.301405129467812	15.701289367911	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.8713708195516
GLYt4	0.299498283481229	7.4532419092505	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.8529952223447
r1593	0.295626585366157	9.37774370319114	Transport, extracellular	8140.1	NA	intercompartmental	99.8346196251378
r1549	0.294094535343717	9.91187077983357	Transport, extracellular	8140.1	NA	intercompartmental	99.8162440279309
r1649	0.288296530789177	0.983145900575529	Transport, extracellular	8140.1	NA	intercompartmental	99.797868430724
r1588	0.287497603806167	7.64517568840633	Transport, extracellular	8140.1	NA	intercompartmental	99.7794928335171
L_LACt4r	0.284242860132084	10.41535029022	Transport, extracellular	160728.1	NA	intercompartmental	99.7611172363102
r1621	0.280573778484663	2.04190265271104	Transport, extracellular	8140.1	NA	intercompartmental	99.7427416391033
r1590	0.279318534471447	14.7922985107281	Transport, extracellular	8140.1	NA	intercompartmental	99.7243660418964
r1595	0.278700431304083	12.6662116057776	Transport, extracellular	8140.1	NA	intercompartmental	99.7059904446894
r1554	0.27767338572713	4.5598979426955	Transport, extracellular	8140.1	NA	intercompartmental	99.6876148474825
r1651	0.275271189472505	5.20675067766802	Transport, extracellular	8140.1	NA	intercompartmental	99.6692392502756
PROt4_2_r	0.273131376188002	0.00111838908464346	Transport, extracellular	6534.1	NA	intercompartmental	99.6508636530687
r1569	0.272603422430804	2.13020659298126	Transport, extracellular	8140.1	NA	intercompartmental	99.6324880558618
ABUTt4_2_r	0.272301172764864	0.6232493865321	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental	99.6141124586549
r1547	0.269605185807891	3.8061435817773	Transport, extracellular	8140.1	NA	intercompartmental	99.595736861448
r1548	0.26956994735126	3.37789981017503	Transport, extracellular	8140.1	NA	intercompartmental	99.5773612642411
ALADGLNexR	0.268828163149101	5.34258201216592	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.5589856670342
r1551	0.266582382758928	7.32172754299963	Transport, extracellular	8140.1	NA	intercompartmental	99.5406100698273
r1629	0.262726466822555	13.8525335677941	Transport, extracellular	8140.1	NA	intercompartmental	99.5222344726204
r1565	0.259238694868775	7.92719093203285	Transport, extracellular	8140.1	NA	intercompartmental	99.5038588754135
r1562	0.258798878670176	7.46078946353154	Transport, extracellular	8140.1	NA	intercompartmental	99.4854832782065
r1561	0.256188636121038	8.30438514840104	Transport, extracellular	8140.1	NA	intercompartmental	99.4671076809996
r1596	0.256052835250329	6.34185701505417	Transport, extracellular	8140.1	NA	intercompartmental	99.4487320837927
ALAGLNexR	0.248701287805902	9.21708644473111	Transport, extracellular	6520.1 and 56301.1	NA	intercompartmental	99.4303564865858
CYStec	0.221963781726094	0.23132856937003	Transport, extracellular	124935.1	NA	intercompartmental	99.4119808893789
r0413	0.216416948163818	2.63240463624354	Glycolysis/gluconeogenesis	5313.1	glycolysis	[c]	99.393605292172
r0153	0.202567734903947	1.35065476607661	Glycolysis/gluconeogenesis	5313.1	glycolysis	[c]	99.3752296949651
r1679	0.193194979273529	8.03088736205404	Transport, extracellular	9057.1	NA	intercompartmental	99.3568540977582
