del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF5GLUtm	164.723318804958	9.53553418269676	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	164.723318804958	9.53553418269676	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	164.723318804958	9.53553418269676	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	1.16693765134587	7.73118495107126	Transport, mitochondrial		NA	intercompartmental	
2AMACHYD	161.107735096497	8.64500044375658	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]	
2AMADPTm	5.48965085802835	10.0335215905716	Lysine metabolism	89874.1	NA	intercompartmental	
2HBO	161.107735095031	8.64500044375664	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	13.8006154206435	9.1865622744584	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	15.7678104147452	9.07822569009678	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2MCITt	148.438579428664	8.58158657051699	Transport, extracellular		NA	intercompartmental	
2OXOADOXm	162.094927470951	9.07886054792355	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	4.36559888889005	8.94082610548018	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	161.107735096549	8.6450004437566	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	161.107735096549	8.6450004437566	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	155.249373902688	9.10116846281842	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	161.107735094926	8.64500044375665	Transport, extracellular	117247.1	NA	intercompartmental	
